Topics,Alpha,Beta,Coherence
4,0.9099999999999999,0.9099999999999999,0.292967506818025
4,0.9099999999999999,symmetric,0.2958404798099996
4,symmetric,0.01,0.26899597185212104
4,symmetric,0.31,0.29355739366015027
4,symmetric,0.61,0.2836239586889277
4,symmetric,0.9099999999999999,0.28006194640370663
4,symmetric,symmetric,0.27664900741731707
4,asymmetric,0.01,0.27378542615190116
4,asymmetric,0.31,0.29120734626367334
4,asymmetric,0.61,0.3021875565746334
4,asymmetric,0.9099999999999999,0.28455336752939697
4,asymmetric,symmetric,0.287128221223499
5,0.01,0.01,0.28776682938049053
5,0.01,0.31,0.27937937810423935
5,0.01,0.61,0.3139568824829225
5,0.01,0.9099999999999999,0.27879724128505484
5,0.01,symmetric,0.2875056605042586
5,0.31,0.01,0.31461986024917626
5,0.31,0.31,0.3115303835680045
5,0.31,0.61,0.3065685730647874
5,0.31,0.9099999999999999,0.2676422141078007
5,0.31,symmetric,0.28549101859394616
5,0.61,0.01,0.31796673107013207
5,0.61,0.31,0.33321749651328536
5,0.61,0.61,0.3438558626576441
5,0.61,0.9099999999999999,0.33036031689929946
5,0.61,symmetric,0.29525496931989775
5,0.9099999999999999,0.01,0.2911225105795882
5,0.9099999999999999,0.31,0.2876517790474299
5,0.9099999999999999,0.61,0.32197769557639105
5,0.9099999999999999,0.9099999999999999,0.33012894026255724
5,0.9099999999999999,symmetric,0.2892678034306762
5,symmetric,0.01,0.3041077777913591
5,symmetric,0.31,0.27585853690690104
5,symmetric,0.61,0.3221032471304585
5,symmetric,0.9099999999999999,0.2928679169368598
5,symmetric,symmetric,0.27520763909674106
5,asymmetric,0.01,0.2952765360258601
5,asymmetric,0.31,0.2880378188053581
5,asymmetric,0.61,0.2758506176903658
5,asymmetric,0.9099999999999999,0.27096386374367865
5,asymmetric,symmetric,0.3022837183595618
6,0.01,0.01,0.35639227962959236
6,0.01,0.31,0.3426011053824342
6,0.01,0.61,0.2931981234382984
6,0.01,0.9099999999999999,0.27821055401597433
6,0.01,symmetric,0.323181404817616
6,0.31,0.01,0.28730935491372694
6,0.31,0.31,0.3056460501208547
6,0.31,0.61,0.2988889447969558
6,0.31,0.9099999999999999,0.309617280474007
6,0.31,symmetric,0.292892211589099
6,0.61,0.01,0.31063816662758387
6,0.61,0.31,0.3389625911126866
6,0.61,0.61,0.33463549777527596
6,0.61,0.9099999999999999,0.3390442825232858
6,0.61,symmetric,0.30354022980200895
6,0.9099999999999999,0.01,0.29396884064123435
6,0.9099999999999999,0.31,0.2985976042265876
6,0.9099999999999999,0.61,0.29499392377988237
6,0.9099999999999999,0.9099999999999999,0.3306373992122477
6,0.9099999999999999,symmetric,0.29079471821933733
6,symmetric,0.01,0.30177294692919987
6,symmetric,0.31,0.3010046148721412
6,symmetric,0.61,0.2896261402386284
6,symmetric,0.9099999999999999,0.30097214305439257
6,symmetric,symmetric,0.30287670540414263
6,asymmetric,0.01,0.3096002077336178
6,asymmetric,0.31,0.28737045885187706
6,asymmetric,0.61,0.3018210799302828
6,asymmetric,0.9099999999999999,0.37535370097278187
6,asymmetric,symmetric,0.29728952528724845
7,0.01,0.01,0.3290148326506241
7,0.01,0.31,0.3241277048785204
7,0.01,0.61,0.3110234856268442
7,0.01,0.9099999999999999,0.3249723138477297
7,0.01,symmetric,0.3293971711630642
7,0.31,0.01,0.2905399740414655
7,0.31,0.31,0.2830003142804978
7,0.31,0.61,0.2966923512360543
7,0.31,0.9099999999999999,0.32838133436645967
7,0.31,symmetric,0.3409503958607897
7,0.61,0.01,0.29062810862098687
7,0.61,0.31,0.29970706816178716
7,0.61,0.61,0.3395725749657575
7,0.61,0.9099999999999999,0.357350527479099
7,0.61,symmetric,0.3203724626443905
7,0.9099999999999999,0.01,0.27741581251366876
7,0.9099999999999999,0.31,0.2826551428991162
7,0.9099999999999999,0.61,0.3087733974709966
7,0.9099999999999999,0.9099999999999999,0.3535449310296203
7,0.9099999999999999,symmetric,0.28625652037074495
7,symmetric,0.01,0.3363241439467452
7,symmetric,0.31,0.30760069671409834
7,symmetric,0.61,0.3202559459766504
7,symmetric,0.9099999999999999,0.31573003611220535
7,symmetric,symmetric,0.32471493410332863
7,asymmetric,0.01,0.3147170353481377
7,asymmetric,0.31,0.29089141705115285
7,asymmetric,0.61,0.3219003618422799
7,asymmetric,0.9099999999999999,0.3968680588410331
7,asymmetric,symmetric,0.2807098564192079
8,0.01,0.01,0.35253426442844416
8,0.01,0.31,0.3334207900267568
8,0.01,0.61,0.28354830947217924
