Topics,Alpha,Beta,Coherence
5,0.61,0.9099999999999999,0.3712864393371787
5,0.61,symmetric,0.3188728260160735
5,0.9099999999999999,0.01,0.3398389963221005
5,0.9099999999999999,0.31,0.3334559546537643
5,0.9099999999999999,0.61,0.3234801274196796
5,0.9099999999999999,0.9099999999999999,0.38328931165790625
5,0.9099999999999999,symmetric,0.3149033668101956
5,symmetric,0.01,0.32918231884230365
5,symmetric,0.31,0.3272822731620365
5,symmetric,0.61,0.3662000112364736
5,symmetric,0.9099999999999999,0.3522154008138134
5,symmetric,symmetric,0.31459980825107886
5,asymmetric,0.01,0.3467851199086337
5,asymmetric,0.31,0.3541799512289276
5,asymmetric,0.61,0.3459441153598914
5,asymmetric,0.9099999999999999,0.4051656490838669
5,asymmetric,symmetric,0.360948476242396
6,0.01,0.01,0.3364123558503956
6,0.01,0.31,0.3363541567196935
6,0.01,0.61,0.3677558073779628
6,0.01,0.9099999999999999,0.3620730830247761
6,0.01,symmetric,0.3420311525141663
6,0.31,0.01,0.34180883295580733
6,0.31,0.31,0.3693564763232072
6,0.31,0.61,0.3356710418504208
6,0.31,0.9099999999999999,0.36698220538492393
6,0.31,symmetric,0.3571898829175022
6,0.61,0.01,0.3365886573697365
6,0.61,0.31,0.36265115207936405
6,0.61,0.61,0.36680825855521015
6,0.61,0.9099999999999999,0.34856320857482226
6,0.61,symmetric,0.3608821896821197
6,0.9099999999999999,0.01,0.34340635057053887
6,0.9099999999999999,0.31,0.35631085690643105
6,0.9099999999999999,0.61,0.35730156621149467
6,0.9099999999999999,0.9099999999999999,0.3558550700868524
6,0.9099999999999999,symmetric,0.3601701976424046
6,symmetric,0.01,0.3323219302600355
6,symmetric,0.31,0.34542827252396546
6,symmetric,0.61,0.3554586328618167
6,symmetric,0.9099999999999999,0.3563393322556503
6,symmetric,symmetric,0.3466471049825066
6,asymmetric,0.01,0.3487027411751082
6,asymmetric,0.31,0.33979152707285976
6,asymmetric,0.61,0.3782825548013266
6,asymmetric,0.9099999999999999,0.37756721860845355
6,asymmetric,symmetric,0.37577619602131546
7,0.01,0.01,0.3442226933711695
7,0.01,0.31,0.33780026622928616
7,0.01,0.61,0.3714200100756758
7,0.01,0.9099999999999999,
7,0.01,symmetric,0.3859138776396139
7,0.31,0.01,0.3382926524775463
7,0.31,0.31,0.3515042393828261
7,0.31,0.61,0.3605577169351317
7,0.31,0.9099999999999999,
7,0.31,symmetric,0.3535961058389558
7,0.61,0.01,0.329412927577628
7,0.61,0.31,0.36726121367134207
7,0.61,0.61,0.3647874145390978
7,0.61,0.9099999999999999,
7,0.61,symmetric,0.3570712464566758
7,0.9099999999999999,0.01,0.34470835820981593
7,0.9099999999999999,0.31,0.3636365442085124
7,0.9099999999999999,0.61,0.35588375551996476
7,0.9099999999999999,0.9099999999999999,0.3593486852518039
7,0.9099999999999999,symmetric,0.3428663001018992
7,symmetric,0.01,0.34361412150379245
7,symmetric,0.31,0.32304412796464926
7,symmetric,0.61,0.3647698845322879
7,symmetric,0.9099999999999999,
7,symmetric,symmetric,0.348140132825382
7,asymmetric,0.01,0.34389591355412163
7,asymmetric,0.31,0.34009975407000903
7,asymmetric,0.61,0.3887525391265933
7,asymmetric,0.9099999999999999,
7,asymmetric,symmetric,0.344774120346993
8,0.01,0.01,0.3648161213702148
8,0.01,0.31,0.3484989464057837
8,0.01,0.61,0.3863397119247777
8,0.01,0.9099999999999999,
8,0.01,symmetric,0.3780331491655501
8,0.31,0.01,0.36060446254161266
8,0.31,0.31,0.3648653854463405
8,0.31,0.61,0.357882758122238
8,0.31,0.9099999999999999,
8,0.31,symmetric,0.39248070618420766
8,0.61,0.01,0.3479162382845169
8,0.61,0.31,0.3578050443239447
8,0.61,0.61,0.3479082875288604
8,0.61,0.9099999999999999,0.40100037603493455
8,0.61,symmetric,0.34872017896223484
8,0.9099999999999999,0.01,0.3356358969781473
8,0.9099999999999999,0.31,0.35645302968961856
8,0.9099999999999999,0.61,0.3432143091312558
8,0.9099999999999999,0.9099999999999999,0.38408025449464434
8,0.9099999999999999,symmetric,0.35874784060308057
8,symmetric,0.01,0.37041789670471204
8,symmetric,0.31,0.3417667668992932
8,symmetric,0.61,
8,symmetric,0.9099999999999999,
8,symmetric,symmetric,0.34563327079409
8,asymmetric,0.01,0.32457565208446126
8,asymmetric,0.31,0.350199393571579
8,asymmetric,0.61,0.38675368399304433
8,asymmetric,0.9099999999999999,
8,asymmetric,symmetric,0.3516841356401743
